created_at,id_str,tweet
0,Tue Jan 28 08:54:18 +0000 2020,1222080447141670913,"@Cryptoi86278745 @open4profit Thank you so much, but if you have some time so please call me. I want to invest mone… https://t.co/4gYK31lapr"
0,Tue Jan 28 08:54:20 +0000 2020,1222080454003544064,@MkSingh10571544 @SitaramYechury Because cpm is not fascist Congress is not fascist and BJP is fascist
0,Tue Jan 28 08:54:29 +0000 2020,1222080493547479041,@vivekagnihotri @ArvindKejriwal No never
0,Tue Jan 28 08:54:50 +0000 2020,1222080581082603520,@RahulGandhi Right sir
0,Tue Jan 28 08:54:59 +0000 2020,1222080618399289344,"Yupp! #AsimSquad  ki official bhabhi @realhimanshi @imrealasim So, please thukla supporter's backwas na kare ab. An… https://t.co/xnPvwNn4VN"
0,Tue Jan 28 08:55:23 +0000 2020,1222080719079407616,"@davidfrawleyved Koi dushra rastha nahi....

Have to fall in Rank &amp; File and March for Nation....else Squad Fire is… https://t.co/nVuCgcd0Vg"
0,Tue Jan 28 08:55:30 +0000 2020,1222080747860713477,@VarunRao1991 @SpaceLobster01 @TOIIndiaNews All due to malicious  misleading campaign by opposition parties about C… https://t.co/BMEqweaQyh
0,Tue Jan 28 08:55:32 +0000 2020,1222080756937187328,@ssharadmohhan @DalrympleWill @bonhams1793 @LostTemple7 @ranjithoskote @punarutthana @vajrayudha11 @Redhotpedia… https://t.co/V0C5QZtKtZ
0,Tue Jan 28 08:55:47 +0000 2020,1222080818878631936,"Justice Banumathi says the petitioner should not have been put in solitary confinement.

#Nirbhaya 
#SupremeCourt"
0,Tue Jan 28 08:55:50 +0000 2020,1222080833705500672,@GaurevSaxsena @macharajarao @_sabanaqvi Which terrorist is funding them ? Are they not allowing vehicles to pass i… https://t.co/3FlrpksNV2
0,Tue Jan 28 08:55:56 +0000 2020,1222080857592061952,@IndiaSwatch @ChangeOrg_India Great work 👍
0,Tue Jan 28 08:56:21 +0000 2020,1222080963875721216,@U_lie_i_rectify @_sabanaqvi Cover page of pak in un??
0,Tue Jan 28 08:56:26 +0000 2020,1222080982607491072,"Senior Counsel Anjana Prakash cites the precedent laid down in Sunil Batra vs Delhi Administration.

#Nirbhaya 
#SupremeCourt"
